,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
4340,4340,5037,Sean Johnson,70,70,65,70,74,42,69,42,43,13,12,53,20,17,16,35,13,19,43,46,13,19,44,52,69,20,50,18,14,16,15,15,66,35,72,30,GK,2,1,Right,"190cm / 6'3""",98kg / 216lb,,35,United States,MLS,Toronto FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sean-johnson/190780,70.0,65.0,70.0,69.0,74.0
4348,4348,5037,Bingourou Kamara,70,72,69,63,70,39,70,37,41,11,12,47,19,15,22,26,12,16,15,15,13,19,28,42,65,21,51,20,20,8,15,14,69,32,77,17,GK,3,1,Right,"196cm / 6'5""",92kg / 203lb,,27,Senegal,Ligue 2 BKT,Pau FC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bingourou-kamara/224442,72.0,69.0,63.0,70.0,70.0
4355,4355,5037,Elhan Kastrati,70,70,69,69,73,36,72,35,38,8,11,52,10,10,10,30,11,10,45,22,13,13,38,44,57,16,43,9,12,12,11,11,50,25,48,20,GK,3,1,Right,"189cm / 6'2""",82kg / 181lb,,27,Albania,Serie BKT,Cittadella,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/elhan-kastrati/233425,70.0,69.0,69.0,72.0,73.0
4358,4358,5037,Marvin Keller,70,71,68,67,71,38,72,38,39,8,7,50,8,6,11,31,16,12,28,24,15,14,28,36,62,11,24,8,15,14,15,14,60,26,61,22,GK,3,1,Right,"189cm / 6'2""",87kg / 192lb,,22,Switzerland,CSSL,BSC Young Boys,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marvin-keller/256726,71.0,68.0,67.0,72.0,71.0
4386,4386,5037,Donovan Léon,70,70,67,66,72,47,69,48,46,15,19,50,16,18,22,43,20,18,36,34,16,14,42,53,66,19,48,26,13,10,10,19,71,34,78,26,GK,2,1,Right,"187cm / 6'2""",94kg / 207lb,,31,France,Ligue 1 McDonald's,AJ Auxerre,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/donovan-leon/205377,70.0,67.0,66.0,69.0,72.0
4393,4393,5037,Andreas Linde,70,71,64,66,74,48,72,48,49,15,13,50,19,12,23,57,16,12,22,18,13,20,30,32,62,18,57,22,12,18,14,11,65,25,70,18,GK,2,1,Right,"196cm / 6'5""",93kg / 205lb,,31,Sweden,Allsvenskan,BK Häcken,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andreas-linde/207926,71.0,64.0,66.0,72.0,74.0
4408,4408,5037,Joe Lumley,70,71,66,74,72,44,68,43,46,19,12,56,16,15,17,53,18,13,24,26,15,19,30,51,64,23,28,25,19,20,19,20,64,38,65,33,GK,3,1,Right,"191cm / 6'3""",73kg / 161lb,,29,England,Premier League,Southampton,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joe-lumley/217096,71.0,66.0,74.0,68.0,72.0
4409,4409,5037,André Ferreira,70,70,66,66,72,38,70,38,39,11,17,50,17,13,20,49,19,12,28,27,17,18,60,55,64,24,38,19,12,12,14,18,66,33,76,27,GK,2,1,Right,"193cm / 6'4""",79kg / 174lb,,28,Portugal,LALIGA EA SPORTS,R. Valladolid CF,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andre-ferreira/244020,70.0,66.0,66.0,70.0,72.0
4417,4417,5037,Anthony Mandréa,70,71,64,63,74,44,71,41,49,15,17,47,14,16,23,15,13,20,28,19,14,16,33,55,63,18,51,19,15,12,19,21,61,28,61,23,GK,2,1,Right,"186cm / 6'1""",78kg / 172lb,,27,Algeria,Ligue 2 BKT,SM Caen,"1v1 Close Down, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/anthony-mandrea/220833,71.0,64.0,63.0,71.0,74.0
4435,4435,5037,Brice Maubleu,70,69,67,66,71,40,70,40,39,12,13,50,17,15,26,47,12,12,36,35,16,19,31,33,67,14,44,18,13,13,19,9,60,25,62,23,GK,3,1,Right,"192cm / 6'4""",83kg / 183lb,,34,France,Ligue 1 McDonald's,AS Saint-Étienne,Far Throw,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brice-maubleu/196316,69.0,67.0,66.0,70.0,71.0
4446,4446,5037,Luis Mejía,70,69,72,68,72,52,65,55,48,13,14,51,17,16,18,42,21,19,24,22,21,13,60,58,65,16,31,19,13,30,13,13,73,37,76,45,GK,1,1,Left,"193cm / 6'4""",81kg / 179lb,,33,Panama,Libertadores,Nacional,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luis-mejia/202089,69.0,72.0,68.0,65.0,72.0
4502,4502,5037,Florin Niță,70,69,70,65,72,20,73,19,21,4,8,49,5,5,11,39,14,13,23,22,10,18,28,64,60,11,62,8,13,14,13,14,62,36,79,20,GK,2,1,Right,"184cm / 6'0""",78kg / 172lb,,37,Romania,ROSHN Saudi League,Damac FC,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florin-nita/238033,69.0,70.0,65.0,73.0,72.0
4527,4527,5037,Ivor Pandur,70,71,68,60,73,39,67,37,41,7,6,45,7,8,14,37,14,10,29,28,14,10,37,31,70,16,48,6,11,9,10,14,47,32,44,21,GK,3,1,Right,"187cm / 6'2""",81kg / 179lb,,24,Croatia,EFL Championship,Hull City,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ivor-pandur/258585,71.0,68.0,60.0,67.0,73.0
4530,4530,5037,Alex Paulsen,70,68,65,70,73,49,64,47,52,18,19,53,16,16,24,56,25,23,41,45,31,26,59,52,78,43,60,14,20,13,18,16,59,45,52,21,GK,4,1,Right,"193cm / 6'4""",82kg / 181lb,,22,New Zealand,Premier League,AFC Bournemouth,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alex-paulsen/263851,68.0,65.0,70.0,64.0,73.0
4532,4532,5037,Bailey Peacock-Farrell,70,70,70,71,71,60,69,60,61,14,11,53,17,11,29,64,14,11,45,49,20,17,40,59,63,29,52,20,17,26,20,20,70,40,67,40,GK,3,1,Left,"193cm / 6'4""",73kg / 161lb,,27,Northern Ireland,EFL League One,Birmingham City,"Cross Claimer, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bailey-peacock-farrell/229091,70.0,70.0,71.0,69.0,71.0
4569,4569,5037,Matheo Raab,70,70,69,67,70,25,70,30,18,18,5,50,8,8,17,36,11,13,32,23,14,12,24,34,60,24,39,10,10,28,12,11,47,30,45,27,GK,3,1,Right,"186cm / 6'1""",82kg / 181lb,,25,Germany,Bundesliga 2,Hamburger SV,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/matheo-raab/257480,70.0,69.0,67.0,70.0,70.0
4570,4570,5037,Boris Radunović,70,73,65,68,75,40,68,38,42,13,19,51,15,13,22,35,15,15,32,34,15,17,46,41,63,26,54,22,15,20,13,14,65,32,72,29,GK,3,1,Right,"194cm / 6'4""",84kg / 185lb,,28,Serbia,Serie BKT,Bari,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/boris-radunovic/231073,73.0,65.0,68.0,68.0,75.0
4576,4576,5037,Roberto Ramírez,70,72,67,66,73,48,69,49,47,17,16,50,12,12,20,43,16,26,30,32,27,15,45,44,62,25,35,23,24,22,15,22,64,31,57,33,GK,2,1,Right,"187cm / 6'2""",73kg / 161lb,,28,Argentina,Primera División,Godoy Cruz,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/roberto-ramirez/222639,72.0,67.0,66.0,69.0,73.0
4579,4579,5037,Federico Ravaglia,70,72,67,67,75,37,69,35,39,10,11,50,9,9,19,21,11,13,43,32,14,9,41,34,60,19,23,10,13,14,13,10,50,43,48,18,GK,3,1,Right,"191cm / 6'3""",75kg / 165lb,,24,Italy,Serie A Enilive,Bologna,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-ravaglia/240657,72.0,67.0,67.0,69.0,75.0
4582,4582,5037,César Rigamonti,70,69,69,65,71,40,71,40,41,12,14,49,17,16,20,34,14,21,30,21,16,16,37,48,67,24,35,20,17,13,15,16,64,29,69,23,GK,2,1,Right,"188cm / 6'2""",76kg / 168lb,,37,Argentina,Libertadores,Palestino,Deflector,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cesar-rigamonti/215250,69.0,69.0,65.0,71.0,71.0
4590,4590,5037,Yoel,70,70,69,68,67,38,69,35,43,13,14,51,11,19,25,45,24,15,31,35,25,13,40,47,72,14,57,19,10,19,15,11,60,34,70,35,GK,5,1,Right,"186cm / 6'1""",78kg / 172lb,,36,Spain,LALIGA HYPERMOTION,Racing de Ferrol,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yoel/185181,70.0,69.0,68.0,69.0,67.0
4607,4607,5037,Mamadou Samassa,70,68,69,67,69,49,69,43,59,11,11,50,10,13,18,47,10,10,27,22,10,12,45,39,70,19,61,19,13,12,11,12,68,34,76,42,GK,1,1,Right,"198cm / 6'6""",85kg / 187lb,,34,Mali,Ligue 2 BKT,Laval MFC,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mamadou-samassa/190195,68.0,69.0,67.0,69.0,69.0
4609,4609,5037,Adrián,70,70,70,67,69,43,69,44,42,12,16,50,20,12,44,32,12,17,21,32,12,15,53,48,69,23,57,25,15,18,19,14,62,38,63,38,GK,2,1,Right,"190cm / 6'3""",80kg / 176lb,,37,Spain,LALIGA EA SPORTS,Real Betis,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/adrian/194911,70.0,70.0,67.0,69.0,69.0
4610,4610,5037,Diego Sánchez,70,70,69,69,70,49,66,53,43,12,20,52,13,20,22,45,14,24,43,31,16,22,50,62,67,18,59,21,18,24,24,18,66,44,60,21,GK,3,1,Right,"184cm / 6'0""",91kg / 201lb,,37,Chile,Sudamericana,Coquimbo Unido,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diego-sanchez/214703,70.0,69.0,69.0,66.0,70.0
4626,4626,5037,Daniel Schmidt,70,70,69,69,72,17,66,19,15,6,7,52,7,9,16,50,13,10,27,43,10,12,29,24,66,22,33,8,10,9,14,14,55,37,67,28,GK,4,1,Right,"196cm / 6'5""",90kg / 198lb,,32,Japan,1A Pro League,KAA Gent,"Cross Claimer, Long Ball Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/daniel-schmidt/237580,70.0,69.0,69.0,66.0,72.0
4629,4629,5037,Patrick Schulte,70,69,65,75,71,21,68,20,23,5,5,56,6,6,16,39,14,14,49,45,12,10,29,27,68,40,36,6,13,5,11,10,47,19,63,22,GK,3,1,Left,"193cm / 6'4""",79kg / 174lb,,23,United States,MLS,Columbus Crew,"Deflector, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patrick-schulte/266389,69.0,65.0,75.0,68.0,71.0
4630,4630,5037,Alexander Schwolow,70,72,62,63,73,37,70,36,39,10,12,47,15,11,22,36,9,16,26,23,13,15,40,42,70,23,24,13,12,16,17,9,60,31,65,26,GK,3,1,Right,"190cm / 6'3""",84kg / 185lb,,32,Germany,Bundesliga,Union Berlin,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexander-schwolow/202789,72.0,62.0,63.0,70.0,73.0
4639,4639,5037,Gaspar Servio,70,69,70,71,70,48,67,48,47,16,19,53,16,15,74,40,19,17,34,33,15,17,36,50,66,31,33,22,13,21,17,13,57,34,51,19,GK,2,1,Right,"185cm / 6'1""",86kg / 190lb,,32,Argentina,Sudamericana,Guaraní,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gaspar-servio/211264,69.0,70.0,71.0,67.0,70.0
4663,4663,5037,Filip Stanković,70,69,68,66,75,50,68,58,39,6,6,50,8,6,19,21,11,11,15,25,11,9,42,40,65,12,30,11,10,6,11,11,60,24,51,24,GK,3,1,Right,"187cm / 6'2""",79kg / 174lb,,22,Serbia,Serie A Enilive,Venezia,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/filip-stankovic/269271,69.0,68.0,66.0,68.0,75.0
4665,4665,5037,Dejan Stojanović,70,71,65,64,73,37,70,34,42,10,12,48,14,19,21,27,16,15,30,18,17,17,34,35,64,20,56,18,17,12,19,11,59,34,60,24,GK,2,1,Left,"196cm / 6'5""",89kg / 196lb,,31,North Macedonia,Ö. Bundesliga,SCR Altach,Deflector,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/dejan-stojanovic/205759,71.0,65.0,64.0,70.0,73.0
4666,4666,5037,Florian Stritzel,70,72,68,54,70,34,74,32,36,10,9,41,10,8,16,24,8,14,22,16,12,10,31,28,57,12,29,10,14,10,13,12,63,27,71,22,GK,3,1,Right,"197cm / 6'6""",92kg / 203lb,,30,Germany,3. Liga,Wehen Wiesbaden,"Cross Claimer, Deflector",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florian-stritzel/208776,72.0,68.0,54.0,74.0,70.0
4678,4678,5037,Ștefan Târnovanu,70,68,65,65,73,55,73,56,53,19,15,49,18,17,13,55,13,12,16,29,11,18,57,48,66,16,32,21,12,18,11,10,62,29,55,16,GK,2,1,Right,"197cm / 6'6""",87kg / 192lb,,24,Romania,SUPERLIGA,FCSB,"Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stefan-tarnovanu/248073,68.0,65.0,65.0,73.0,73.0
4704,4704,5037,Benjamin Uphoff,70,69,69,64,71,38,69,36,40,10,8,48,7,9,24,26,11,11,36,22,18,10,29,34,66,22,23,12,12,13,11,13,59,23,64,15,GK,2,1,Right,"192cm / 6'4""",84kg / 185lb,,31,Germany,3. Liga,FC Hansa Rostock,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/benjamin-uphoff/206145,69.0,69.0,64.0,69.0,71.0
4711,4711,5037,Stijn van Gassel,70,71,68,64,74,44,68,45,43,6,10,48,9,8,14,39,13,13,21,19,16,14,38,39,65,18,41,14,14,9,12,13,64,35,67,28,GK,3,1,Left,"186cm / 6'1""",81kg / 179lb,,27,Holland,Eredivisie,N.E.C. Nijmegen,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/stijn-van-gassel/269434,71.0,68.0,64.0,68.0,74.0
4712,4712,5037,Nikola Vasilj,70,70,67,65,71,34,71,36,30,8,9,49,7,6,16,42,10,11,40,38,14,12,40,23,68,22,55,15,12,13,10,14,63,21,72,30,GK,3,1,Right,"193cm / 6'4""",89kg / 196lb,,28,Bosnia and Herzegovina,Bundesliga,FC St. Pauli,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nikola-vasilj/262956,70.0,67.0,65.0,71.0,71.0
4735,4735,5037,Joe Willis,70,71,70,65,70,47,71,47,46,13,8,49,16,13,22,35,13,13,34,38,14,13,52,55,63,15,46,24,12,15,12,10,67,26,71,31,GK,3,1,Left,"196cm / 6'5""",84kg / 185lb,,36,United States,MLS,Nashville SC,"Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joe-willis/202215,71.0,70.0,65.0,71.0,70.0
4751,4751,5037,Luca Zidane,70,72,67,66,70,37,71,29,50,5,8,50,5,6,19,52,12,11,40,20,14,12,40,49,65,22,33,14,12,13,11,13,50,38,50,16,GK,3,1,Right,"183cm / 6'0""",78kg / 172lb,,26,France,LALIGA HYPERMOTION,Granada CF,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luca-zidane/240311,72.0,67.0,66.0,71.0,70.0
4758,4758,5902,Aceves,69,70,68,69,72,24,69,20,31,8,10,52,12,11,14,41,15,15,24,25,16,9,38,50,57,15,37,15,10,20,14,13,58,27,71,27,GK,3,1,Right,"190cm / 6'3""",85kg / 187lb,,21,Spain,LALIGA EA SPORTS,R. Valladolid CF,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/aceves/270529,70.0,68.0,69.0,69.0,72.0
4766,4766,5902,Alan Aguerre,69,71,66,62,72,47,70,49,43,11,20,47,14,16,22,55,14,18,27,23,18,17,45,57,60,19,50,19,17,15,19,12,64,34,62,23,GK,2,1,Right,"181cm / 5'11""",76kg / 168lb,,34,Argentina,Sudamericana,Lanús,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alan-aguerre/215123,71.0,66.0,62.0,70.0,72.0
4776,4776,5902,Mohammed Al Owais,69,77,62,60,71,51,64,49,55,10,20,45,12,12,19,45,14,16,27,26,16,14,62,57,70,17,49,24,20,13,20,25,65,35,62,45,GK,2,1,Left,"185cm / 6'1""",75kg / 165lb,,32,Saudi Arabia,ROSHN Saudi League,Al Hilal,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohammed-al-owais/210923,77.0,62.0,60.0,64.0,71.0
4782,4782,5902,Jak Alnwick,69,69,67,65,69,46,70,42,53,12,14,49,12,11,47,52,20,29,35,40,21,11,50,52,65,31,47,20,17,11,21,20,60,41,59,39,GK,2,1,Left,"187cm / 6'2""",82kg / 181lb,,31,England,EFL Championship,Cardiff City,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jak-alnwick/204354,69.0,67.0,65.0,70.0,69.0
4798,4798,5902,Alejandro Araque,69,73,66,64,69,47,64,47,46,5,5,48,12,7,21,23,13,13,15,25,10,12,51,47,69,10,23,10,10,5,12,12,52,27,46,26,GK,1,1,Left,"180cm / 5'11""",80kg / 176lb,,29,Venezuela,Libertadores,Dep. Táchira,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alejandro-araque/252123,73.0,66.0,64.0,64.0,69.0
4826,4826,5902,Fran Vieites,69,72,63,73,68,34,66,33,36,6,6,55,9,7,11,50,11,10,24,22,14,12,45,41,69,14,42,14,11,10,14,14,54,27,55,28,GK,2,1,Right,"196cm / 6'5""",88kg / 194lb,,25,Spain,LALIGA EA SPORTS,Real Betis,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/fran-vieites/243587,72.0,63.0,73.0,66.0,68.0
4838,4838,5902,James Beadle,69,68,67,68,69,46,70,47,45,6,6,51,8,10,13,50,12,11,55,50,15,10,55,45,60,25,50,11,15,6,15,12,65,40,67,25,GK,3,1,Right,"198cm / 6'6""",85kg / 187lb,,20,England,EFL Championship,Sheffield Wed,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/james-beadle/273621,68.0,67.0,68.0,70.0,69.0
4863,4863,5902,Enrique Bologna,69,69,65,71,71,42,70,44,40,15,13,53,15,10,25,51,21,18,33,21,16,22,43,47,65,29,64,17,10,12,22,17,65,33,73,25,GK,1,1,Right,"188cm / 6'2""",89kg / 196lb,,42,Argentina,Sudamericana,Defensa,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/enrique-bologna/142962,69.0,65.0,71.0,70.0,71.0
4882,4882,5902,Sebastián Britos,69,63,70,63,68,24,77,22,27,20,19,47,18,20,26,18,16,14,29,24,16,17,32,33,58,18,27,19,15,20,11,16,57,27,66,20,GK,2,1,Right,"190cm / 6'3""",87kg / 192lb,,36,Uruguay,Libertadores,Universitario,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sebastian-britos/227154,63.0,70.0,63.0,77.0,68.0
4885,4885,5902,Michael Brouwer,69,72,68,65,67,26,64,25,27,4,18,49,17,17,27,33,13,16,24,21,18,18,32,32,69,26,39,9,16,21,20,19,44,25,43,21,GK,3,1,Right,"189cm / 6'2""",81kg / 179lb,,31,Holland,Eredivisie,FC Utrecht,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michael-brouwer/215546,72.0,68.0,65.0,64.0,67.0
4902,4902,5902,Diego Callai,69,68,65,66,71,22,71,22,22,4,5,50,6,5,12,21,11,12,33,34,11,8,35,23,61,14,38,12,11,9,11,11,51,21,57,16,GK,4,1,Right,"190cm / 6'3""",88kg / 194lb,,20,Brazil,Liga Portugal,Sporting CP,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/diego-callai/270865,68.0,65.0,66.0,71.0,71.0
4906,4906,5902,Nicolás Campisi,69,67,66,65,69,39,70,37,41,8,6,49,6,7,14,40,20,13,31,30,20,20,36,42,65,24,36,21,20,12,21,22,63,33,66,30,GK,2,1,Right,"188cm / 6'2""",90kg / 198lb,,27,Argentina,Primera División,Unión,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolas-campisi/255473,67.0,66.0,65.0,70.0,69.0
4910,4910,5902,Thiago Cardozo,69,70,66,61,73,42,65,41,43,16,14,46,14,16,25,27,12,20,32,30,19,23,42,40,70,30,39,22,23,15,24,25,63,36,61,35,GK,2,1,Right,"182cm / 6'0""",83kg / 183lb,,28,Uruguay,Primera División,Unión,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thiago-cardozo/253271,70.0,66.0,61.0,65.0,73.0
4932,4932,5902,Juan Camilo Chaverra,69,72,65,61,76,32,66,34,30,15,6,46,6,6,32,31,20,15,30,31,21,5,32,41,60,21,40,21,11,20,20,21,59,35,66,24,GK,3,1,Right,"185cm / 6'1""",75kg / 165lb,,31,Colombia,Sudamericana,Deportes Tolima,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/juan-camilo-chaverra/237147,72.0,65.0,61.0,66.0,76.0
4947,4947,5902,Valentin Cojocaru,69,71,66,67,68,34,67,35,32,14,17,50,16,18,13,53,12,14,25,28,12,15,43,25,68,16,37,12,13,25,12,11,59,28,63,23,GK,2,1,Right,"195cm / 6'5""",89kg / 196lb,,28,Romania,PKO BP Ekstraklasa,Pogoń Szczecin,"Deflector, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/valentin-cojocaru/236330,71.0,66.0,67.0,67.0,68.0
4950,4950,5902,Brad Collins,69,70,64,71,70,43,69,41,45,11,15,53,16,19,25,55,20,12,47,43,19,20,33,63,64,27,46,20,21,11,19,17,57,25,51,20,GK,2,1,Right,"184cm / 6'0""",69kg / 152lb,,27,England,EFL Championship,Coventry City,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/brad-collins/225543,70.0,64.0,71.0,69.0,70.0
4973,4973,5902,Charles,69,70,64,60,73,30,67,28,32,10,13,45,18,19,18,48,12,13,22,18,19,20,48,34,65,24,37,20,20,14,18,13,53,30,52,25,GK,2,1,Right,"186cm / 6'1""",80kg / 176lb,,30,Brazil,Liga Portugal,Vitória SC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/charles/229255,70.0,64.0,60.0,67.0,73.0
4996,4996,5902,Sebastiano Desplanches,69,70,65,66,72,26,68,21,34,8,7,50,6,8,22,40,12,15,39,28,15,13,60,40,65,24,48,20,15,17,20,21,57,22,68,30,GK,3,1,Left,"189cm / 6'2""",80kg / 176lb,,21,Italy,Serie BKT,Palermo,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/sebastiano-desplanches/276839,70.0,65.0,66.0,68.0,72.0
5037,5037,5902,Ralf Fährmann,69,70,65,48,72,42,70,38,47,11,11,36,9,11,21,42,14,11,21,25,18,15,39,36,70,24,61,23,15,10,12,10,66,32,75,36,GK,1,1,Right,"197cm / 6'6""",98kg / 216lb,,35,Germany,Bundesliga 2,FC Schalke 04,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ralf-fahrmann/179783,70.0,65.0,48.0,70.0,72.0
5063,5063,5902,Andrea Fulignati,69,69,67,71,70,48,69,51,44,12,20,53,18,18,22,32,19,14,40,30,14,17,52,54,60,28,49,20,11,15,19,18,63,17,60,30,GK,3,1,Right,"188cm / 6'2""",88kg / 194lb,,29,Italy,Serie BKT,Cremonese,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/andrea-fulignati/220720,69.0,67.0,71.0,69.0,70.0
5082,5082,5902,Marius Gersbeck,69,65,71,59,70,42,70,41,43,15,17,44,16,19,24,35,18,13,43,37,14,21,39,50,66,24,52,23,15,14,16,15,58,36,57,36,GK,3,1,Left,"187cm / 6'2""",83kg / 183lb,,29,Germany,Bundesliga 2,Hertha BSC,"Cross Claimer, Far Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marius-gersbeck/213573,65.0,71.0,59.0,70.0,70.0
5098,5098,5902,Jakob Golz,69,70,64,59,71,19,68,19,18,6,9,44,8,9,11,28,11,11,23,28,10,14,31,39,66,16,36,13,11,9,10,13,53,17,60,26,GK,3,1,Right,"187cm / 6'2""",85kg / 187lb,,26,Germany,3. Liga,Rot-Weiss Essen,"Far Throw, Footwork",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jakob-golz/269269,70.0,64.0,59.0,68.0,71.0
5101,5101,5902,Alfred Gomis,69,69,67,68,69,42,68,43,41,16,16,51,15,11,23,50,15,12,34,41,12,15,60,54,70,24,57,21,11,18,14,10,61,33,65,16,GK,3,1,Right,"196cm / 6'5""",80kg / 176lb,,31,Senegal,Serie BKT,Palermo,1v1 Close Down,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alfred-gomis/201976,69.0,67.0,68.0,68.0,69.0
5116,5116,5902,Lennart Grill,69,73,64,61,72,40,65,38,43,6,5,46,5,6,11,45,8,8,29,27,10,15,40,29,63,26,38,8,14,10,14,11,59,31,60,20,GK,3,1,Right,"192cm / 6'4""",85kg / 187lb,,25,Germany,Bundesliga 2,Braunschweig,Footwork,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lennart-grill/236613,73.0,64.0,61.0,65.0,72.0
5122,5122,5902,Patrik Gunnarsson,69,68,72,73,70,42,68,44,40,8,9,55,8,12,14,63,15,20,50,50,15,18,38,50,54,35,56,16,14,15,12,12,63,32,68,22,GK,3,1,Right,"190cm / 6'3""",84kg / 185lb,,23,Iceland,1A Pro League,KV Kortrijk,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/patrik-gunnarsson/245274,68.0,72.0,73.0,68.0,70.0
5123,5123,5902,Régis Gurtner,69,66,67,68,65,42,69,39,46,6,9,51,8,10,24,28,10,10,29,30,9,10,32,32,81,28,59,13,10,10,12,13,61,38,68,35,GK,2,1,Right,"182cm / 6'0""",82kg / 181lb,,37,France,Ligue 2 BKT,Amiens SC,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/regis-gurtner/176994,66.0,67.0,68.0,69.0,65.0
5129,5129,5902,Warner Hahn,69,69,65,70,70,47,67,45,50,13,12,53,19,16,20,53,21,13,45,40,24,19,44,49,65,24,59,24,14,12,15,19,70,38,77,36,GK,2,1,Right,"190cm / 6'3""",88kg / 194lb,,32,Suriname,Allsvenskan,Hammarby IF,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/warner-hahn/222900,69.0,65.0,70.0,67.0,70.0
5130,5130,5902,Ben Hamer,69,70,64,66,72,45,67,45,45,13,20,50,18,14,22,46,11,12,33,32,13,18,50,56,64,23,54,21,11,15,12,12,62,30,64,34,GK,3,1,Right,"192cm / 6'4""",91kg / 201lb,,36,England,EFL Championship,Sheffield Wed,Cross Claimer,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ben-hamer/170008,70.0,64.0,66.0,67.0,72.0
