Index,Rank,Name,Team,League,Nation,OVR,SHO,Finishing,Shot Power,Penalties,Reactions,Position,Preferred foot
4250,16962,Park Kyung Bae,Gangwon FC,K League 1,Korea Republic,54,53,57,52,59,55,ST,Right
4251,16962,Leander Popp,Fürth,Bundesliga 2,Germany,54,53,54,52,59,51,ST,Right
4252,16962,Iustin Răducan,FC Petrolul,SUPERLIGA,Romania,54,55,57,59,59,44,ST,Right
4253,16962,Luke Supyk,Well. Phoenix,A-League,New Zealand,54,51,52,56,59,50,ST,Right
4254,17146,Jake Najdovski,Western United,A-League,Australia,53,53,59,49,59,49,ST,Right
4255,17301,Gabriel Segal,Houston Dynamo,MLS,United States,52,54,58,54,59,52,ST,Right
4256,17535,Ha Dong Seon,Incheon United,K League 1,Korea Republic,50,50,53,47,59,48,ST,Right
4257,17629,Zavier Gozo,Real Salt Lake,MLS,United States,49,47,49,45,59,48,RW,Right
4258,149,Jack Grealish,Manchester City,Premier League,England,84,76,76,76,58,82,LW,Right
4259,322,Brahim,Real Madrid,LALIGA EA SPORTS,Morocco,82,74,76,73,58,79,CAM,Right
4260,458,Jerdy Schouten,PSV,Eredivisie,Holland,81,59,57,65,58,80,CDM,Right
4261,458,Ellyes Skhiri,Frankfurt,Bundesliga,Tunisia,81,73,76,75,58,83,CDM,Right
4262,458,Piotr Zieliński,Lombardia FC,Serie A Enilive,Poland,81,76,74,79,58,80,CM,Right
4263,577,Yves Bissouma,Spurs,Premier League,Mali,80,67,58,79,58,77,CDM,Right
4264,577,Daniel Muñoz,Crystal Palace,Premier League,Colombia,80,66,70,70,58,78,RB,Right
4265,577,Allan Saint-Maximin,Fenerbahçe,Trendyol Süper Lig,France,80,72,71,82,58,76,LM,Right
4266,577,Barış Alper Yılmaz,Galatasaray,Trendyol Süper Lig,Turkey,80,75,75,85,58,78,RM,Right
4267,736,Marcus Edwards,Sporting CP,Liga Portugal,England,79,70,71,70,58,78,RW,Left
4268,736,Eljif Elmas,RB Leipzig,Bundesliga,North Macedonia,79,72,71,79,58,78,CAM,Right
4269,736,İrfan Can Kahveci,Fenerbahçe,Trendyol Süper Lig,Turkey,79,79,78,81,58,74,RW,Left
4270,736,Jefferson Lerma,Crystal Palace,Premier League,Colombia,79,71,65,83,58,76,CDM,Right
4271,736,Adam Marušić,Latium,Serie A Enilive,Montenegro,79,66,56,79,58,76,LB,Right
4272,736,Oleksandr Zinchenko,Arsenal,Premier League,Ukraine,79,66,58,78,58,79,LB,Left
4273,970,Jan-Niklas Beste,SL Benfica,Liga Portugal,Germany,78,72,74,77,58,67,LM,Left
4274,970,Ritsu Doan,SC Freiburg,Bundesliga,Japan,78,64,65,62,58,74,RM,Left
4275,970,Ryan Gravenberch,Liverpool,Premier League,Holland,78,76,76,78,58,74,CM,Right
4276,970,Djibril Sow,Sevilla FC,LALIGA EA SPORTS,Switzerland,78,69,69,71,58,78,CM,Right
4277,1218,Philip Billing,AFC Bournemouth,Premier League,Denmark,77,77,75,85,58,79,CM,Left
4278,1218,Jérémie Boga,OGC Nice,Ligue 1 McDonald's,Côte d'Ivoire,77,70,67,80,58,68,LW,Right
4279,1218,De Frutos,Rayo Vallecano,LALIGA EA SPORTS,Spain,77,71,70,80,58,71,RM,Right
4280,1218,Niclas Eliasson,AEK Athens,Hellas Liga,Sweden,77,66,69,66,58,76,RM,Left
4281,1218,Enzo Le Fée,AS Roma,Serie A Enilive,France,77,57,52,60,58,77,CM,Right
4282,1218,Kalvin Phillips,Ipswich,Premier League,England,77,65,62,75,58,75,CDM,Right
4283,1218,Yussuf Poulsen,RB Leipzig,Bundesliga,Denmark,77,71,76,73,58,79,ST,Right
4284,1218,André Almeida,Valencia CF,LALIGA EA SPORTS,Portugal,77,66,57,75,58,75,CM,Right
4285,1218,Malik Tillman,PSV,Eredivisie,United States,77,68,70,72,58,76,CAM,Right
4286,1218,Mitchell Weiser,SV Werder Bremen,Bundesliga,Germany,77,63,65,58,58,79,RB,Right
4287,1218,Maximilian Wöber,Leeds United,EFL Championship,Austria,77,52,41,67,58,76,CB,Left
4288,1525,Tommaso Baldanzi,AS Roma,Serie A Enilive,Italy,76,72,69,77,58,70,CAM,Left
4289,1525,Musa Barrow,Al Taawoun,ROSHN Saudi League,Gambia,76,73,75,76,58,76,LW,Right
4290,1525,Patrick Berg,FK Bodø/Glimt,Eliteserien,Norway,76,64,59,67,58,75,CDM,Right
4291,1525,Josh Cullen,Burnley,EFL Championship,Republic of Ireland,76,61,55,68,58,76,CDM,Right
4292,1525,Dani García,Olympiacos FC,Hellas Liga,Spain,76,63,58,69,58,82,CM,Right
4293,1525,Robin Hack,M'gladbach,Bundesliga,Germany,76,74,77,75,58,72,LM,Right
4294,1525,Rasmus Kristensen,Frankfurt,Bundesliga,Denmark,76,65,60,75,58,75,RB,Right
4295,1525,Tanguy Ndombele,OGC Nice,Ligue 1 McDonald's,France,76,70,68,79,58,70,CM,Right
4296,1525,Manor Solomon,Leeds United,EFL Championship,Israel,76,72,75,76,58,66,LM,Right
4297,1888,Kike Barja,CA Osasuna,LALIGA EA SPORTS,Spain,75,67,73,66,58,71,RM,Right
4298,1888,Giovanni Fabbian,Bologna,Serie A Enilive,Italy,75,72,73,74,58,73,CM,Right
4299,1888,Hong Hyeon Seok,1. FSV Mainz 05,Bundesliga,Korea Republic,75,71,74,70,58,74,CAM,Left
4300,1888,Jørgen Strand Larsen,Wolves,Premier League,Norway,75,75,81,74,58,74,ST,Right
4301,1888,Jérémy Le Douaron,Palermo,Serie BKT,France,75,73,75,76,58,78,ST,Left
4302,1888,Enzo Loiodice,UD Las Palmas,LALIGA EA SPORTS,France,75,64,58,73,58,68,CM,Left
4303,1888,Ángelo Preciado,Sparta Praha,Česká Liga,Ecuador,75,63,62,62,58,73,RB,Right
4304,1888,Nicolas Raskin,Rangers,Scottish Prem,Belgium,75,63,58,71,58,80,CM,Right
4305,1888,Pablo Rosario,OGC Nice,Ligue 1 McDonald's,Holland,75,64,59,76,58,73,CDM,Right
4306,2318,Nicolò Cambiaghi,Bologna,Serie A Enilive,Italy,74,72,70,79,58,75,LW,Right
4307,2318,Todd Cantwell,Blackburn Rovers,EFL Championship,England,74,67,69,66,58,74,CAM,Right
4308,2318,Ismael Díaz,U. Católica,Sudamericana,Panama,74,70,73,72,58,75,LW,Right
4309,2318,Hákon Arnar Haraldsson,LOSC Lille,Ligue 1 McDonald's,Iceland,74,64,66,64,58,69,LM,Right
4310,2318,Naby Keïta,SV Werder Bremen,Bundesliga,Guinea,74,71,69,74,58,75,CM,Right
4311,2318,Robin Knoche,1. FC Nürnberg,Bundesliga 2,Germany,74,42,38,58,58,73,CB,Right
4312,2318,Lukas Kübler,SC Freiburg,Bundesliga,Germany,74,47,44,56,58,72,RB,Right
4313,2318,Mert Müldür,Fenerbahçe,Trendyol Süper Lig,Turkey,74,53,46,64,58,68,RB,Right
4314,2318,Arnaud Nordin,Montpellier,Ligue 1 McDonald's,France,74,71,73,74,58,72,RM,Left
4315,2318,Adama Traoré,Ferencvárosi TC,Magyar Liga,Mali,74,71,78,69,58,73,RW,Left
4316,2882,Sergi Canós,Valencia CF,LALIGA EA SPORTS,Spain,73,73,70,79,58,72,LM,Right
4317,2882,Diego Demme,Hertha BSC,Bundesliga 2,Germany,73,47,39,62,58,71,CDM,Right
4318,2882,Kamory Doumbia,Stade Brestois 29,Ligue 1 McDonald's,Mali,73,67,65,72,58,71,CAM,Right
4319,2882,Roger Fernandes,SC Braga,Liga Portugal,Portugal,73,63,66,67,58,76,LM,Left
4320,2882,Lucas Höler,SC Freiburg,Bundesliga,Germany,73,73,76,78,58,78,ST,Right
4321,2882,Keane Lewis-Potter,Brentford,Premier League,England,73,67,69,67,58,67,LW,Right
4322,2882,Charalampos Lykogiannis,Bologna,Serie A Enilive,Greece,73,70,62,84,58,66,LB,Left
4323,2882,Gary Medel,Boca Juniors,Sudamericana,Chile,73,50,37,65,58,79,CB,Right
4324,2882,Daan Rots,FC Twente,Eredivisie,Holland,73,67,68,69,58,65,RM,Left
4325,2882,Abdelhamid Sabiri,Fiorentina,Serie A Enilive,Morocco,73,71,68,80,58,72,CAM,Right
4326,3521,Francis Amuzu,RSC Anderlecht,1A Pro League,Belgium,72,65,62,70,58,68,LW,Right
4327,3521,Gonçalo Franco,Swansea City,EFL Championship,Portugal,72,64,64,67,58,70,CDM,Right
4328,3521,Johan Carbonero,Racing Club,Sudamericana,Colombia,72,65,64,68,58,69,LW,Right
4329,3521,Carney Chukwuemeka,Chelsea,Premier League,England,72,65,67,65,58,72,CAM,Right
4330,3521,Marco D'Alessandro,Catanzaro,Serie BKT,Italy,72,58,50,68,58,65,LW,Right
4331,3521,Aron Dønnum,Toulouse FC,Ligue 1 McDonald's,Norway,72,62,62,67,58,69,RM,Left
4332,3521,Malick Fofana,OL,Ligue 1 McDonald's,Belgium,72,62,64,58,58,69,LW,Right
4333,3521,Claudio Gomes,Palermo,Serie BKT,France,72,57,52,68,58,74,CDM,Right
4334,3521,Elías Gómez,Vélez Sarsfield,Primera División,Argentina,72,61,58,69,58,68,LB,Left
4335,3521,Amor Layouni,BK Häcken,Allsvenskan,Tunisia,72,71,74,73,58,67,RW,Left
4336,3521,Mauricio Martínez,Rosario Central,Libertadores,Argentina,72,59,49,75,58,70,CDM,Right
4337,3521,Pasquale Mazzocchi,SSC Napoli,Serie A Enilive,Italy,72,59,58,63,58,64,RM,Right
4338,3521,Valentin Mihăilă,Parma,Serie A Enilive,Romania,72,65,67,67,58,63,LM,Right
4339,3521,Jhon Mosquera,Viktoria Plzeň,Česká Liga,Colombia,72,69,69,72,58,71,LM,Left
4340,3521,Berkay Özcan,Başakşehir,Trendyol Süper Lig,Turkey,72,64,64,68,58,70,CM,Right
4341,3521,Nemanja Radoja,Sporting KC,MLS,Serbia,72,61,58,63,58,69,CM,Right
4342,3521,Borja Sánchez,R. Oviedo,LALIGA HYPERMOTION,Spain,72,68,67,69,58,70,LM,Right
4343,3521,Mile Škorić,Tianjin JMT FC,CSL,Croatia,72,42,47,46,58,68,CB,Right
4344,3521,Marko Stamenić,Olympiacos FC,Hellas Liga,New Zealand,72,60,55,68,58,68,CDM,Right
4345,3521,Jón Dagur Þorsteinsson,Hertha BSC,Bundesliga 2,Iceland,72,66,65,67,58,67,LM,Right
4346,4260,José Aja,Indep. Medellín,Sudamericana,Uruguay,71,41,35,53,58,52,CB,Right
4347,4260,Mohamed Belloumi,Farense,Liga Portugal,Algeria,71,66,65,67,58,66,RW,Left
4348,4260,Uran Bislimi,FC Lugano,CSSL,Switzerland,71,66,69,62,58,68,CM,Right
4349,4260,Alejandro Camargo,Coquimbo Unido,Sudamericana,Argentina,71,63,59,74,58,64,CM,Right
4350,4260,Michele Collocolo,Cremonese,Serie BKT,Italy,71,59,59,64,58,64,CDM,Right
4351,4260,Francesco Di Mariano,Palermo,Serie BKT,Italy,71,67,67,70,58,70,LW,Right
4352,4260,Zakaria El Ouahdi,KRC Genk,1A Pro League,Morocco,71,55,58,48,58,73,RB,Right
4353,4260,Christian Fassnacht,Norwich,EFL Championship,Switzerland,71,66,66,68,58,65,RM,Right
4354,4260,Saviour Godwin,Al Okhdood,ROSHN Saudi League,Nigeria,71,67,69,69,58,64,LM,Right
4355,4260,Hong Chul,Daegu FC,K League 1,Korea Republic,71,51,38,65,58,66,LB,Left
4356,4260,Jakub Jankto,Cagliari,Serie A Enilive,Czech Republic,71,67,64,75,58,71,CM,Left
4357,4260,Sinan Karweina,FC Luzern,CSSL,Germany,71,72,74,73,58,64,ST,Right
4358,4260,Ko Seung Beom,Ulsan Hyundai,K League 1,Korea Republic,71,60,57,62,58,70,CM,Right
4359,4260,Sayfallah Ltaief,FC Twente,Eredivisie,Tunisia,71,64,67,62,58,58,LM,Right
4360,4260,Pablo Martínez,Levante UD,LALIGA HYPERMOTION,Spain,71,66,61,74,58,69,CM,Right
4361,4260,Tokmac Chol Nguen,Djurgårdens IF,Allsvenskan,Norway,71,69,73,62,58,66,CAM,Right
4362,4260,Marcelo Saracchi,Boca Juniors,Sudamericana,Uruguay,71,62,58,68,58,66,LB,Left
4363,4260,Scott Twine,Bristol City,EFL Championship,England,71,69,66,74,58,67,LM,Right
4364,4260,Hannes Van Der Bruggen,Cercle Brugge,1A Pro League,Belgium,71,62,54,73,58,67,CM,Right
4365,4260,Calvin Verdonk,N.E.C. Nijmegen,Eredivisie,Indonesia,71,58,49,78,58,66,LB,Left
4366,4260,Élie Youan,Hibernian,Scottish Prem,France,71,67,68,70,58,69,LM,Right
4367,4260,Amin Younes,FC Schalke 04,Bundesliga 2,Germany,71,65,67,66,58,67,CAM,Right
4368,4260,Alessio Zerbin,SSC Napoli,Serie A Enilive,Italy,71,67,69,65,58,64,LW,Right
4369,5037,Michele Castagnetti,Cremonese,Serie BKT,Italy,70,70,65,83,58,67,CDM,Left
4370,5037,Matt Crooks,Real Salt Lake,MLS,England,70,67,69,69,58,72,CAM,Right
4371,5037,Ramiro Enrique,Orlando City,MLS,Argentina,70,69,67,76,58,68,ST,Right
4372,5037,Bartol Franjić,Shakhtar Donetsk,Ukrayina Liha,Croatia,70,50,42,64,58,69,CDM,Left
4373,5037,Damián García,Peñarol,Libertadores,Uruguay,70,61,58,65,58,69,CDM,Right
4374,5037,Andrés Gómez,Stade Rennais FC,Ligue 1 McDonald's,Colombia,70,66,71,62,58,72,RM,Right
4375,5037,László Kleinheisler,Panathinaikos,Hellas Liga,Hungary,70,70,66,82,58,70,CAM,Right
4376,5037,Johan Larsson,IF Elfsborg,Allsvenskan,Sweden,70,63,58,70,58,68,RB,Right
4377,5037,Antoine Leautey,Amiens SC,Ligue 2 BKT,France,70,64,63,71,58,63,RM,Right
4378,5037,Pedro Pereira,Monza,Serie A Enilive,Portugal,70,54,42,64,58,70,RM,Right
4379,5037,Agustín Martegani,Boca Juniors,Sudamericana,Argentina,70,67,62,78,58,60,CM,Left
4380,5037,James McAtee,Manchester City,Premier League,England,70,64,64,66,58,68,RW,Left
4381,5037,Ignacio Miramón,Boca Juniors,Sudamericana,Argentina,70,57,55,61,58,65,CDM,Right
4382,5037,Ádám Nagy,Spezia,Serie BKT,Hungary,70,54,48,58,58,71,CM,Right
4383,5037,Rúben Vinagre,Legia Warszawa,PKO BP Ekstraklasa,Portugal,70,55,52,64,58,72,LB,Left
4384,5037,Callum O'Dowda,Cardiff City,EFL Championship,Republic of Ireland,70,60,61,64,58,67,LM,Left
4385,5037,Ronald,Swansea City,EFL Championship,Brazil,70,62,66,73,58,72,RM,Right
4386,5037,Bruno Pittón,Unión,Primera División,Argentina,70,67,67,74,58,67,LB,Left
4387,5037,Vicente Poggi,Godoy Cruz,Primera División,Uruguay,70,48,45,59,58,69,CM,Right
4388,5037,Álex Pozo,UD Almería,LALIGA HYPERMOTION,Spain,70,64,62,69,58,67,RB,Right
4389,5037,Elvis Sarić,Qingdao Hainiu,CSL,Bosnia and Herzegovina,70,61,57,65,58,70,CM,Left
4390,5037,Mirko Topić,FC Famalicão,Liga Portugal,Serbia,70,48,40,68,58,67,CDM,Right
4391,5037,Kenan Yıldız,Juventus,Serie A Enilive,Turkey,70,61,62,60,58,58,LW,Right
4392,5902,Marc Aguado,Real Zaragoza,LALIGA HYPERMOTION,Spain,69,54,49,62,58,68,CDM,Left
4393,5902,Emiliano Amor,Colo-Colo,Libertadores,Argentina,69,36,39,45,58,65,CB,Right
4394,5902,Modou Barrow,Al Ahli,ROSHN Saudi League,Gambia,69,63,64,62,58,62,LM,Left
4395,5902,Jacob Brown,Luton Town,EFL Championship,Scotland,69,69,71,72,58,68,ST,Right
4396,5902,Nicolás Eduardo Castro,Atlético Tucumán,Primera División,Argentina,69,64,62,68,58,69,CM,Left
4397,5902,Giorgi Chakvetadze,Watford,EFL Championship,Georgia,69,66,62,75,58,58,CAM,Right
4398,5902,Ibrahim Cissoko,Plymouth Argyle,EFL Championship,Holland,69,60,60,63,58,68,LW,Right
4399,5902,João Aurélio,Nacional,Liga Portugal,Portugal,69,59,54,65,58,68,RB,Right
4400,5902,Sean Davis,Nashville SC,MLS,United States,69,55,50,65,58,67,CDM,Right
4401,5902,Tom Dele-Bashiru,Watford,EFL Championship,Nigeria,69,65,61,74,58,67,CM,Right
4402,5902,Siriki Dembélé,Oxford United,EFL Championship,Scotland,69,65,65,68,58,66,LM,Right
4403,5902,Franco Díaz,Instituto,Primera División,Argentina,69,54,51,57,58,66,CDM,Right
4404,5902,Luca Fiordilino,Venezia,Serie A Enilive,Italy,69,57,50,68,58,68,CDM,Right
4405,5902,Kristian Hlynsson,Ajax,Eredivisie,Iceland,69,63,62,67,58,67,CAM,Right
4406,5902,Filip Wojciech Jagiełło,Lech Poznań,PKO BP Ekstraklasa,Poland,69,70,69,71,58,64,CM,Right
4407,5902,Victor Jensen,FC Utrecht,Eredivisie,Denmark,69,62,62,64,58,67,CAM,Right
4408,5902,Jeong Seung Won,Suwon FC,K League 1,Korea Republic,69,63,59,70,58,70,CM,Right
4409,5902,Hamidou Keyta,Qarabağ FK,Liga Azerbaijan,France,69,68,69,75,58,59,LW,Right
4410,5902,Javi Llabrés,RCD Mallorca,LALIGA EA SPORTS,Spain,69,60,65,59,58,62,LM,Right
4411,5902,Iago Maidana,Henan FC,CSL,Brazil,69,40,34,54,58,59,CB,Right
4412,5902,Nacho Méndez,R. Sporting,LALIGA HYPERMOTION,Spain,69,69,69,70,58,64,CM,Left
4413,5902,Rokas Pukštas,Hajduk Split,Liga Hrvatska,United States,69,66,68,65,58,75,CM,Right
4414,5902,Junior Sambia,Empoli,Serie A Enilive,France,69,66,59,82,58,64,RB,Right
4415,5902,Dario Šarić,Palermo,Serie BKT,Bosnia and Herzegovina,69,66,62,75,58,75,CM,Right
4416,5902,Leandro Sosa,Danubio,Sudamericana,Uruguay,69,66,62,72,58,64,CDM,Left
4417,5902,Matěj Valenta,Viktoria Plzeň,Česká Liga,Czech Republic,69,65,63,68,58,67,CM,Right
4418,5902,Bakhtiyor Zainutdinov,Beşiktaş,Trendyol Süper Lig,Kazakhstan,69,67,64,75,58,64,LM,Left
4419,6884,Haitam Aleesami,KFUM-Kameratene,Eliteserien,Norway,68,56,54,61,58,67,CB,Left
4420,6884,Gökdeniz Bayrakdar,Bodrum FK,Trendyol Süper Lig,Turkey,68,65,67,65,58,67,RM,Left
4421,6884,Leon Bell Bell,Braunschweig,Bundesliga 2,Cameroon,68,61,58,65,58,60,LB,Left
4422,6884,John Björkengren,Randers FC,3F Superliga,Sweden,68,59,54,69,58,68,CM,Left
4423,6884,Jason Ceka,1. FC Magdeburg,Bundesliga 2,Germany,68,64,67,62,58,58,RW,Left
4424,6884,Dominick Drexler,FC Schalke 04,Bundesliga 2,Germany,68,61,62,61,58,71,CAM,Right
4425,6884,Gustav Engvall,IFK Värnamo,Allsvenskan,Sweden,68,66,68,72,58,63,ST,Right
4426,6884,Rúben Macedo,Nacional,Liga Portugal,Portugal,68,62,61,68,58,70,LW,Right
4427,6884,Kosmas Gezos,Austria Klagenfurt,Ö. Bundesliga,Greece,68,46,39,65,58,63,CB,Right
4428,6884,Jodi Jones,Notts County,EFL League Two,Malta,68,60,59,61,58,62,LM,Left
4429,6884,Neraysho Kasanwirjo,Rangers,Scottish Prem,Holland,68,42,40,48,58,59,CB,Right
4430,6884,Ransford-Yeboah Königsdörffer,Hamburger SV,Bundesliga 2,Ghana,68,63,68,62,58,56,RW,Right
4431,6884,Lars Olden Larsen,BK Häcken,Allsvenskan,Norway,68,68,69,70,58,62,LM,Right
4432,6884,Robert Leipertz,1. FC Magdeburg,Bundesliga 2,Germany,68,68,67,72,58,68,ST,Left
4433,6884,Kevin Lewis,Danubio,Sudamericana,Uruguay,68,58,56,63,58,69,CDM,Left
4434,6884,Clayton Lewis,Macarthur FC,A-League,New Zealand,68,58,53,65,58,65,CDM,Left
4435,6884,Tom Louchet,OGC Nice,Ligue 1 McDonald's,France,68,63,62,65,58,67,LW,Right
4436,6884,Manuel Marras,Reggiana,Serie BKT,Italy,68,62,64,63,58,61,RM,Left
4437,6884,Josh Murphy,Portsmouth,EFL Championship,England,68,64,64,65,58,62,LM,Right
4438,6884,Levin Öztunalı,Hamburger SV,Bundesliga 2,Germany,68,64,62,68,58,66,RW,Right
4439,6884,Paul Smyth,QPR,EFL Championship,Northern Ireland,68,59,60,61,58,61,RM,Right
4440,6884,Elayis Tavşan,Cesena,Serie BKT,Holland,68,64,62,71,58,67,RW,Left
4441,7937,An Jae Jun,Pohang Steelers,K League 1,Korea Republic,67,66,69,67,58,65,ST,Right
4442,7937,Adriano Bertaccini,STVV,1A Pro League,Belgium,67,67,71,66,58,61,ST,Right
4443,7937,Marcos Bolados,Colo-Colo,Libertadores,Chile,67,60,60,64,58,61,RW,Right
4444,7937,Michael Breij,Sepsi OSK,SUPERLIGA,Holland,67,65,64,72,58,69,RW,Right
4445,7937,Brandt Bronico,Charlotte FC,MLS,United States,67,59,57,63,58,63,CM,Right
4446,7937,Gabriele Corbo,CF Montréal,MLS,Italy,67,40,33,58,58,66,CB,Right
4447,7937,Harry Cornick,Bristol City,EFL Championship,England,67,65,66,68,58,68,ST,Right
4448,7937,Patrick Andrade,Qarabağ FK,Liga Azerbaijan,Cape Verde Islands,67,57,55,67,58,66,CDM,Left
4449,7937,Ismaila Coulibaly,Sheffield Utd,EFL Championship,Mali,67,63,61,70,58,66,CM,Right
4450,7937,Dejan Djokic,FC Sion,CSSL,Switzerland,67,66,71,65,58,67,ST,Left
4451,7937,Stefan Dražić,APOEL FC,Liga Cyprus,Serbia,67,66,68,69,58,69,ST,Right
4452,7937,Joe Edwards,Plymouth Argyle,EFL Championship,England,67,59,61,61,58,61,RB,Right
4453,7937,Miguel Sousa,Casa Pia AC,Liga Portugal,Portugal,67,62,63,62,58,66,CAM,Right
4454,7937,Alessandro Fontanarosa,Reggiana,Serie BKT,Italy,67,58,59,70,58,60,CB,Left
4455,7937,Víctor García,Málaga CF,LALIGA HYPERMOTION,Spain,67,51,45,58,58,61,LB,Left
4456,7937,Markus Kaasa,Molde FK,Eliteserien,Norway,67,61,64,59,58,65,CM,Right
4457,7937,Ahmed Kutucu,Eyüpspor,Trendyol Süper Lig,Turkey,67,68,67,76,58,63,ST,Right
4458,7937,Callum Lang,Portsmouth,EFL Championship,England,67,64,66,67,58,65,CAM,Right
4459,7937,Nikolai Laursen,Heracles Almelo,Eredivisie,Denmark,67,66,62,73,58,65,RM,Left
4460,7937,Richard Ledezma,PSV,Eredivisie,United States,67,60,60,62,58,60,CAM,Right
4461,7937,José Leguizamón,Sportivo Luqueño,Sudamericana,Paraguay,67,46,42,65,58,61,CB,Right
4462,7937,Roberto Massimo,Fürth,Bundesliga 2,Germany,67,60,64,62,58,58,RM,Right
4463,7937,Ibrahim Maza,Hertha BSC,Bundesliga 2,Germany,67,61,61,64,58,63,CAM,Right
4464,7937,Ken Nkuba,KRC Genk,1A Pro League,Belgium,67,63,65,64,58,61,RM,Right
4465,7937,Ibrahim Olawoyin,Çaykur Rizespor,Trendyol Süper Lig,Nigeria,67,61,67,59,58,63,CAM,Right
4466,7937,Bartłomiej Pawłowski,Widzew Łódź,PKO BP Ekstraklasa,Poland,67,66,67,66,58,65,CAM,Right
4467,7937,Nicholas Pierini,Sassuolo,Serie BKT,Italy,67,65,67,66,58,67,ST,Right
4468,7937,Ovidiu Popescu,FC Univ. Cluj,SUPERLIGA,Romania,67,59,52,73,58,61,CDM,Right
4469,7937,Mateusz Praszelik,Südtirol,Serie BKT,Poland,67,63,61,71,58,64,CDM,Right
4470,7937,Ianis Stoica,FC Hermannstadt,SUPERLIGA,Romania,67,64,65,68,58,64,RM,Right
4471,7937,Keke Topp,SV Werder Bremen,Bundesliga,Germany,67,65,67,75,58,64,ST,Right
4472,9009,Sandro Altunashvili,Wolfsberger AC,Ö. Bundesliga,Georgia,66,58,56,63,58,64,CM,Right
4473,9009,Frederik Brandhof,AGF,3F Superliga,Denmark,66,60,61,60,58,63,CM,Right
4474,9009,Gilles Dewaele,KV Kortrijk,1A Pro League,Belgium,66,61,62,68,58,65,RB,Right
4475,9009,Giuseppe Di Serio,Spezia,Serie BKT,Italy,66,64,66,69,58,64,ST,Right
4476,9009,Edan Diop,AS Monaco,Ligue 1 McDonald's,France,66,60,59,66,58,61,RM,Right
4477,9009,Ante Erceg,Fortuna Sittard,Eredivisie,Croatia,66,64,66,65,58,64,ST,Right
4478,9009,Deybi Flores,Toronto FC,MLS,Honduras,66,47,37,60,58,62,CDM,Right
4479,9009,Magnus Retsius Grødem,Yverdon Sport FC,CSSL,Norway,66,63,66,63,58,65,CAM,Right
4480,9009,CJ Hamilton,Blackpool,EFL League One,Republic of Ireland,66,59,55,67,58,63,RB,Left
4481,9009,Patrick Hobsch,1860 München,3. Liga,Germany,66,66,69,67,58,58,ST,Right
4482,9009,Martijn Kaars,1. FC Magdeburg,Bundesliga 2,Holland,66,65,67,68,58,64,ST,Right
4483,9009,Liam Kelly,Rotherham Utd,EFL League One,Scotland,66,54,48,64,58,58,CDM,Right
4484,9009,Lee Jin Hyun,Puszcza,PKO BP Ekstraklasa,Korea Republic,66,55,49,67,58,65,CM,Left
4485,9009,Antoni Milambo,Feyenoord,Eredivisie,Holland,66,58,57,65,58,62,CAM,Right
4486,9009,Francisco Ramos,Radomiak Radom,PKO BP Ekstraklasa,Portugal,66,57,47,68,58,67,CM,Right
4487,9009,Kazeem Olaigbe,Cercle Brugge,1A Pro League,Belgium,66,60,61,64,58,58,LM,Right
4488,9009,Kacper Przybyłko,FC Lugano,CSSL,Poland,66,64,63,68,58,68,ST,Right
4489,9009,Daniel Stensson,Djurgårdens IF,Allsvenskan,Sweden,66,60,59,63,58,65,CDM,Left
4490,9009,Lars Villiger,FC Luzern,CSSL,Switzerland,66,66,69,66,58,63,ST,Right
4491,9009,Ben Woodburn,Salford City,EFL League Two,Wales,66,63,61,68,58,62,CAM,Right
4492,9009,Yun Il Lok,Ulsan Hyundai,K League 1,Korea Republic,66,57,55,58,58,65,RB,Right
4493,10108,Ibrahim Alhassan,Boavista FC,Liga Portugal,Nigeria,65,50,43,58,58,64,CDM,Right
4494,10108,Theo Archibald,Leyton Orient,EFL League One,Scotland,65,60,59,63,58,58,LM,Left
4495,10108,Sinclair Armstrong,Bristol City,EFL Championship,Republic of Ireland,65,63,63,75,58,61,ST,Right
4496,10108,Louie Barry,Stockport,EFL League One,England,65,60,61,60,58,56,LW,Right
4497,10108,Oliver Batista Meier,Dynamo Dresden,3. Liga,Germany,65,63,63,66,58,62,CAM,Right
4498,10108,Axel Borgmann,Energie Cottbus,3. Liga,Germany,65,53,47,65,58,63,LB,Left
4499,10108,Joseph Champness,Auckland FC,A-League,New Zealand,65,61,62,64,58,53,LW,Right
4500,10108,Cheng Jin,Zhejiang Pro,CSL,China PR,65,59,59,64,58,56,RM,Right
4501,10108,Gabriel Compagnucci,Belgrano,Sudamericana,Argentina,65,58,56,70,58,61,RB,Right
4502,10108,Leon Dajaku,Hajduk Split,Liga Hrvatska,Germany,65,60,60,62,58,62,RM,Right
4503,10108,Ethan Finlay,Austin FC,MLS,United States,65,62,62,66,58,62,RM,Right
4504,10108,Boubacar Fofana,FC Winterthur,CSSL,France,65,63,65,66,58,64,ST,Left
4505,10108,Djeidi Gassama,Sheffield Wed,EFL Championship,France,65,60,62,57,58,62,LM,Right
4506,10108,Jacobo,Córdoba CF,LALIGA HYPERMOTION,Spain,65,65,66,66,58,52,RM,Right
4507,10108,Stefan Hajdin,Sepsi OSK,SUPERLIGA,Serbia,65,61,64,62,58,64,LB,Left
4508,10108,Rommell Ibarra,Dep. La Guaira,Sudamericana,Venezuela,65,55,55,57,58,63,CDM,Right
